,frame_number,temp
0,2,32.2
1,3,32.2
2,4,32.2
3,5,32.2
4,6,32.2
5,7,32.2
6,8,32.2
7,9,32.2
8,10,32.2
9,11,32.2
10,12,32.2
11,13,32.2
12,14,32.2
13,15,32.2
14,16,32.2
15,17,32.2
16,18,32.2
17,19,32.2
18,20,32.2
19,21,32.2
20,22,32.2
21,23,32.2
22,24,32.2
23,25,32.2
24,26,32.2
25,27,32.2
26,28,32.2
27,29,32.2
28,30,32.2
29,31,32.2
30,32,32.2
31,33,32.2
32,34,32.2
33,35,
34,36,32.2
35,37,32.2
36,38,32.2
37,39,32.2
38,40,32.2
39,41,32.2
40,42,32.2
41,43,32.2
42,44,32.3
43,45,32.2
44,46,32.2
45,47,32.2
46,48,32.2
47,49,32.3
48,50,32.3
49,51,32.3
50,52,32.3
51,53,32.3
52,54,32.3
53,55,32.3
54,56,32.4
55,57,32.3
56,58,32.3
57,59,32.3
58,60,32.3
59,61,32.2
60,62,32.3
61,63,32.5
62,64,32.4
63,65,32.4
64,66,32.4
65,67,32.6
66,68,32.6
67,69,32.6
68,70,32.5
69,71,32.5
70,72,32.5
71,73,32.5
72,74,32.5
73,75,32.5
74,76,32.5
75,77,32.5
76,78,32.5
77,79,32.5
78,80,32.5
79,81,32.5
80,82,32.5
81,83,32.5
82,84,32.5
83,85,32.5
84,86,32.5
85,87,32.5
86,88,32.5
87,89,32.5
88,90,32.5
89,91,32.5
90,92,32.4
91,93,32.5
92,94,32.5
93,95,32.5
94,96,32.5
95,97,32.5
96,98,32.5
97,99,32.5
98,100,32.5
99,101,32.5
100,102,32.5
101,103,32.5
102,104,32.5
103,105,32.5
104,106,32.4
105,107,32.4
106,108,32.5
107,109,32.5
108,110,32.5
109,111,32.5
110,112,32.4
111,113,32.4
112,114,32.4
113,115,32.4
114,116,32.4
115,117,32.4
116,118,32.4
117,119,32.4
118,120,32.4
119,121,32.3
120,122,
121,123,
122,124,
123,125,32.3
124,126,32.5
125,127,32.4
126,128,32.4
